variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept,-6.13,-6.13,0.05,0.05,-6.21,-6.06,1.01,797.65,"1,377.13"
b_y_num,-0.02,-0.02,0.01,0.01,-0.03,-0.01,1.00,"2,524.30","2,609.36"
b_acf_periodb.acf,0.00,-0.01,0.97,0.95,-1.59,1.58,1.00,"3,216.48","3,010.75"
b_acf_periodc.postMacf,0.04,0.04,0.11,0.11,-0.14,0.21,1.00,"3,107.57","3,124.93"
b_y_num:acf_periodb.acf,0.08,0.08,0.12,0.12,-0.11,0.28,1.00,"3,211.41","3,033.43"
b_y_num:acf_periodc.postMacf,-0.05,-0.05,0.01,0.01,-0.07,-0.04,1.00,"2,898.82","2,899.50"
sd_ward__Intercept,0.25,0.25,0.04,0.04,0.19,0.31,1.00,"1,037.80","1,830.11"
sd_ward__y_num,0.02,0.02,0.01,0.01,0.01,0.03,1.01,604.65,478.63
sd_ward__acf_periodb.acf,0.07,0.06,0.04,0.05,0.01,0.14,1.00,"1,523.22","2,065.04"
sd_ward__acf_periodc.postMacf,0.12,0.12,0.06,0.06,0.02,0.22,1.00,700.99,"1,368.25"
sd_ward__y_num:acf_periodb.acf,0.01,0.01,0.01,0.01,0.00,0.02,1.00,"1,216.11","1,572.69"
sd_ward__y_num:acf_periodc.postMacf,0.01,0.01,0.01,0.01,0.00,0.02,1.01,550.30,"1,254.18"
cor_ward__Intercept__y_num,-0.45,-0.48,0.19,0.18,-0.72,-0.10,1.00,"1,426.22","1,619.32"
cor_ward__Intercept__acf_periodb.acf,-0.24,-0.27,0.28,0.29,-0.65,0.28,1.00,"2,878.86","2,756.72"
cor_ward__y_num__acf_periodb.acf,-0.04,-0.04,0.26,0.28,-0.47,0.41,1.00,"5,369.88","3,066.42"
cor_ward__Intercept__acf_periodc.postMacf,-0.14,-0.15,0.24,0.25,-0.52,0.28,1.00,"3,397.69","2,605.60"
cor_ward__y_num__acf_periodc.postMacf,0.10,0.10,0.26,0.27,-0.34,0.52,1.00,"2,602.83","2,833.96"
cor_ward__acf_periodb.acf__acf_periodc.postMacf,0.08,0.09,0.27,0.28,-0.39,0.52,1.00,"1,491.33","2,336.67"
cor_ward__Intercept__y_num:acf_periodb.acf,-0.24,-0.27,0.28,0.28,-0.66,0.27,1.00,"2,989.82","3,258.38"
cor_ward__y_num__y_num:acf_periodb.acf,-0.04,-0.04,0.27,0.29,-0.48,0.39,1.00,"5,400.38","3,213.61"
cor_ward__acf_periodb.acf__y_num:acf_periodb.acf,-0.06,-0.06,0.28,0.30,-0.52,0.42,1.00,"4,078.48","2,922.31"
cor_ward__acf_periodc.postMacf__y_num:acf_periodb.acf,0.07,0.07,0.28,0.29,-0.39,0.52,1.00,"2,990.41","3,502.53"
